condition,epoch,loglik,change
winsfs_b500_w100,2,71.875,6.6782
winsfs_b500_w100,3,71.875,1.4737e-5
winsfs_b500_w100,4,71.875,4.6288e-6
winsfs_b500_w100,5,71.875,2.0831e-6
winsfs_b500_w100,6,71.875,1.0985e-6
winsfs_b500_w100,7,71.875,6.3456e-7
winsfs_b500_w100,8,71.875,3.8844e-7
winsfs_b500_w100,9,71.875,2.4765e-7
winsfs_b500_w100,10,71.875,1.6276e-7
winsfs_b500_w100,11,71.875,1.0952e-7
winsfs_b500_w100,12,71.875,7.5067e-8
winsfs_b500_w100,13,71.875,5.2205e-8
winsfs_b500_w100,14,71.875,3.6716e-8
winsfs_b500_w100,15,71.875,2.6042e-8
winsfs_b500_w100,16,71.875,1.8584e-8
winsfs_b500_w100,17,71.875,1.3317e-8
winsfs_b500_w100,18,71.875,9.5623e-9
winsfs_b500_w100,19,71.875,6.8686e-9
winsfs_b500_w100,20,71.875,4.9261e-9
winsfs_b500_w100,21,71.875,3.5199e-9
winsfs_b500_w100,22,71.875,2.4998e-9
winsfs_b500_w100,23,71.875,1.7588e-9
winsfs_b500_w100,24,71.875,1.2209e-9
winsfs_b500_w100,25,71.875,8.3101e-10
winsfs_b500_w100,26,71.875,5.4902e-10
winsfs_b500_w100,27,71.875,3.4618e-10
winsfs_b500_w100,28,71.875,2.0148e-10
winsfs_b500_w100,29,71.875,9.905e-11
winsfs_b500_w100,30,71.875,2.7697e-11
winsfs_b500_w100,31,71.875,2.1231e-11
winsfs_b500_w100,32,71.875,5.349e-11
winsfs_b500_w100,33,71.875,7.3967e-11
winsfs_b500_w100,34,71.875,8.5976e-11
winsfs_b500_w100,35,71.875,9.1831e-11
winsfs_b500_w100,36,71.875,9.3735e-11
winsfs_b500_w100,37,71.875,9.2285e-11
winsfs_b500_w100,38,71.875,8.9258e-11
winsfs_b500_w100,39,71.875,8.4725e-11
winsfs_b500_w100,40,71.875,7.9808e-11
winsfs_b500_w100,41,71.875,7.4422e-11
winsfs_b500_w100,42,71.875,6.8653e-11
winsfs_b500_w100,43,71.875,6.3224e-11
winsfs_b500_w100,44,71.875,5.8009e-11
winsfs_b500_w100,45,71.875,5.295e-11
winsfs_b500_w100,46,71.875,4.8146e-11
winsfs_b500_w100,47,71.875,4.3642e-11
winsfs_b500_w100,48,71.875,3.9762e-11
winsfs_b500_w100,49,71.875,3.5769e-11
winsfs_b500_w100,50,71.875,3.5769e-11
winsfs_b500_w250,2,71.876,6.8279
winsfs_b500_w250,3,71.875,6.53e-4
winsfs_b500_w250,4,71.875,2.142e-5
winsfs_b500_w250,5,71.875,8.5087e-6
winsfs_b500_w250,6,71.875,4.8713e-6
winsfs_b500_w250,7,71.875,3.0984e-6
winsfs_b500_w250,8,71.875,2.0939e-6
winsfs_b500_w250,9,71.875,1.479e-6
winsfs_b500_w250,10,71.875,1.0811e-6
winsfs_b500_w250,11,71.875,8.1193e-7
winsfs_b500_w250,12,71.875,6.2317e-7
winsfs_b500_w250,13,71.875,4.8679e-7
winsfs_b500_w250,14,71.875,3.8581e-7
winsfs_b500_w250,15,71.875,3.0951e-7
winsfs_b500_w250,16,71.875,2.5087e-7
winsfs_b500_w250,17,71.875,2.0517e-7
winsfs_b500_w250,18,71.875,1.691e-7
winsfs_b500_w250,19,71.875,1.4033e-7
winsfs_b500_w250,20,71.875,1.1718e-7
winsfs_b500_w250,21,71.875,9.8387e-8
winsfs_b500_w250,22,71.875,8.3023e-8
winsfs_b500_w250,23,71.875,7.0378e-8
winsfs_b500_w250,24,71.875,5.9906e-8
winsfs_b500_w250,25,71.875,5.1186e-8
winsfs_b500_w250,26,71.875,4.3886e-8
winsfs_b500_w250,27,71.875,3.7747e-8
winsfs_b500_w250,28,71.875,3.2561e-8
winsfs_b500_w250,29,71.875,2.8162e-8
winsfs_b500_w250,30,71.875,2.4417e-8
winsfs_b500_w250,31,71.875,2.1217e-8
winsfs_b500_w250,32,71.875,1.8475000000000002e-08
winsfs_b500_w250,33,71.875,1.6117e-8
winsfs_b500_w250,34,71.875,1.4084e-8
winsfs_b500_w250,35,71.875,1.2326e-8
winsfs_b500_w250,36,71.875,1.0804e-8
winsfs_b500_w250,37,71.875,9.4817e-9
winsfs_b500_w250,38,71.875,8.3314e-9
winsfs_b500_w250,39,71.875,7.3287e-9
winsfs_b500_w250,40,71.875,6.4527e-9
winsfs_b500_w250,41,71.875,5.6869e-9
winsfs_b500_w250,42,71.875,5.016e-9
winsfs_b500_w250,43,71.875,4.4275e-9
winsfs_b500_w250,44,71.875,3.9107e-9
winsfs_b500_w250,45,71.875,3.4565e-9
winsfs_b500_w250,46,71.875,3.0562e-9
winsfs_b500_w250,47,71.875,2.704e-9
winsfs_b500_w250,48,71.875,2.3932e-9
winsfs_b500_w250,49,71.875,2.1189e-9
winsfs_b500_w250,50,71.875,2.1189e-9
winsfs_b500_w500,2,71.891,6.8974
winsfs_b500_w500,3,71.876,0.015379
winsfs_b500_w500,4,71.875,5.94e-4
