pops,epochs,condition,seconds,mb
MasaiMara,1,realsfs,916.0239,75040.37
MasaiMara,10,realsfs,966.6217,75040.59
MasaiMara,20,realsfs,1155.5255,75040.23
MasaiMara,30,realsfs,1946.1814,75040.55
MasaiMara,40,realsfs,1545.9151,75040.45
MasaiMara,50,realsfs,1836.8206,75040.55
MasaiMara,60,realsfs,2088.3411,75040.35
MasaiMara,70,realsfs,2236.2171,75040.72
MasaiMara,80,realsfs,2345.6378,75040.55
MasaiMara,90,realsfs,2437.4306,75040.57
MasaiMara,100,realsfs,2947.121,75040.59
MasaiMara,1,winsfs,760.7095,60513.82
MasaiMara,2,winsfs,834.4296,60517.47
MasaiMara,3,winsfs,1000.2868,60516.38
MasaiMara,4,winsfs,853.1319,60513.87
MasaiMara,5,winsfs,762.119,60513.89
MasaiMara,6,winsfs,753.2435,60515.12
MasaiMara,7,winsfs,906.5596,60515.14
MasaiMara,8,winsfs,811.9568,60516.74
MasaiMara,9,winsfs,730.7409,60515.18
MasaiMara,10,winsfs,769.3037,60515.24
MasaiMara,1,stream_winsfs,127.9045,4.36
MasaiMara,2,stream_winsfs,468.9448,6.79
MasaiMara,3,stream_winsfs,374.4658,6.78
MasaiMara,4,stream_winsfs,531.1874,6.75
MasaiMara,5,stream_winsfs,653.0118,6.7
MasaiMara,6,stream_winsfs,754.9268,6.89
MasaiMara,7,stream_winsfs,1088.6939,6.66
MasaiMara,8,stream_winsfs,1038.2925,6.82
MasaiMara,9,stream_winsfs,1183.0739,6.75
MasaiMara,10,stream_winsfs,1306.394,6.7
MasaiMara,NA,shuffle,856.9946,7.79
