condition,epoch,loglik,change
winsfs_b500_w100,2,25.702,4.5947
winsfs_b500_w100,3,25.701,6.1253e-4
winsfs_b500_w100,4,25.701,2.4497e-5
winsfs_b500_w100,5,25.701,3.1824e-6
winsfs_b500_w100,6,25.701,7.7878e-7
winsfs_b500_w100,7,25.701,2.9560000000000003e-07
winsfs_b500_w100,8,25.701,1.5743e-7
winsfs_b500_w100,9,25.701,1.0662e-7
winsfs_b500_w100,10,25.701,8.3558e-8
winsfs_b500_w100,11,25.701,7.0977e-8
winsfs_b500_w100,12,25.701,6.297e-8
winsfs_b500_w100,13,25.701,5.7245e-8
winsfs_b500_w100,14,25.701,5.2803e-8
winsfs_b500_w100,15,25.701,4.9163e-8
winsfs_b500_w100,16,25.701,4.6071e-8
winsfs_b500_w100,17,25.701,4.3378e-8
winsfs_b500_w100,18,25.701,4.0992e-8
winsfs_b500_w100,19,25.701,3.8851e-8
winsfs_b500_w100,20,25.701,3.6913e-8
winsfs_b500_w100,21,25.701,3.5145e-8
winsfs_b500_w100,22,25.701,3.3522e-8
winsfs_b500_w100,23,25.701,3.2027e-8
winsfs_b500_w100,24,25.701,3.0643e-8
winsfs_b500_w100,25,25.701,2.9358e-8
winsfs_b500_w100,26,25.701,2.8162e-8
winsfs_b500_w100,27,25.701,2.7046e-8
winsfs_b500_w100,28,25.701,2.6003e-8
winsfs_b500_w100,29,25.701,2.5026e-8
winsfs_b500_w100,30,25.701,2.4109e-8
winsfs_b500_w100,31,25.701,2.3247e-8
winsfs_b500_w100,32,25.701,2.2436e-8
winsfs_b500_w100,33,25.701,2.1671e-8
winsfs_b500_w100,34,25.701,2.0949e-8
winsfs_b500_w100,35,25.701,2.0267e-8
winsfs_b500_w100,36,25.701,1.9621e-8
winsfs_b500_w100,37,25.701,1.901e-8
winsfs_b500_w100,38,25.701,1.8429e-8
winsfs_b500_w100,39,25.701,1.7878e-8
winsfs_b500_w100,40,25.701,1.7354e-8
winsfs_b500_w100,41,25.701,1.6855e-8
winsfs_b500_w100,42,25.701,1.638e-8
winsfs_b500_w100,43,25.701,1.5926e-8
winsfs_b500_w100,44,25.701,1.5493e-8
winsfs_b500_w100,45,25.701,1.5079e-8
winsfs_b500_w100,46,25.701,1.4683e-8
winsfs_b500_w100,47,25.701,1.4303e-8
winsfs_b500_w100,48,25.701,1.3939e-8
winsfs_b500_w100,49,25.701,1.359e-8
winsfs_b500_w100,50,25.701,1.359e-8
winsfs_b500_w250,2,25.735,5.0479
winsfs_b500_w250,3,25.703,0.031078
winsfs_b500_w250,4,25.701,0.0019407
winsfs_b500_w250,5,25.701,2.9414e-4
winsfs_b500_w250,6,25.701,7.0426e-5
winsfs_b500_w250,7,25.701,2.1762e-5
winsfs_b500_w250,8,25.701,8.0387e-6
winsfs_b500_w250,9,25.701,3.4183e-6
winsfs_b500_w250,10,25.701,1.6315e-6
winsfs_b500_w250,11,25.701,8.5745e-7
winsfs_b500_w250,12,25.701,4.8913e-7
winsfs_b500_w250,13,25.701,2.9982e-7
winsfs_b500_w250,14,25.701,1.961e-7
winsfs_b500_w250,15,25.701,1.3615e-7
winsfs_b500_w250,16,25.701,9.9892e-8
winsfs_b500_w250,17,25.701,7.7059e-8
