condition,epoch,i,x
realsfs,3,0,381193145.038394
realsfs,3,1,226134004.427798
realsfs,3,2,24825703.481255
realsfs,3,3,835095.378044
realsfs,3,4,351964.753129
realsfs,3,5,1026.4119
realsfs,3,6,60903.293447
realsfs,3,7,185628.900376
realsfs,3,8,108197.665011
realsfs,3,9,53658.346875
realsfs,3,10,58147.48522
realsfs,3,11,105386.605605
realsfs,3,12,25087.013251
realsfs,3,13,11056.405786
realsfs,3,14,136734.968496
realsfs,3,15,18861.950057
realsfs,3,16,63609.453791
realsfs,3,17,21294.412997
realsfs,3,18,73284.905803
realsfs,3,19,12908.61444
realsfs,3,20,64892.129667
realsfs,3,21,31129.624907
realsfs,3,22,1320.112625
realsfs,3,23,39136.626865
realsfs,3,24,28054.99426
realsfs,5,0,605163311.516717
realsfs,5,1,27069297.978273
realsfs,5,2,627616.891094
realsfs,5,3,125784.762312
realsfs,5,4,208922.897373
realsfs,5,5,1356.96767
realsfs,5,6,87530.833378
realsfs,5,7,233631.763806
realsfs,5,8,126082.088561
realsfs,5,9,63259.170982
realsfs,5,10,70513.104155
realsfs,5,11,129653.555045
realsfs,5,12,30586.895503
realsfs,5,13,12584.457268
realsfs,5,14,140214.310324
realsfs,5,15,18374.193404
realsfs,5,16,61595.928599
realsfs,5,17,20559.660859
realsfs,5,18,68912.053952
realsfs,5,19,11996.100375
realsfs,5,20,62088.662457
realsfs,5,21,38222.551745
realsfs,5,22,2239.70224
realsfs,5,23,39436.143077
realsfs,5,24,26460.810829
realsfs,7,0,628235761.898183
realsfs,7,1,4204551.464416
realsfs,7,2,283016.504081
realsfs,7,3,142491.43098
realsfs,7,4,313312.724573
realsfs,7,5,2222.326384
realsfs,7,6,115862.109068
realsfs,7,7,238431.415001
realsfs,7,8,114950.857743
realsfs,7,9,58720.794868
realsfs,7,10,68582.563503
realsfs,7,11,131397.205886
realsfs,7,12,31947.301278
realsfs,7,13,12913.654971
realsfs,7,14,136863.20868
realsfs,7,15,17837.504273
realsfs,7,16,61428.332318
realsfs,7,17,20860.987402
realsfs,7,18,68506.445857
realsfs,7,19,11576.194917
realsfs,7,20,58282.641222
realsfs,7,21,42438.453162
realsfs,7,22,3310.53259
realsfs,7,23,38698.600811
realsfs,7,24,26267.847834
realsfs,10,0,631554569.937434
realsfs,10,1,770168.257328
realsfs,10,2,294385.952143
realsfs,10,3,200616.414698
realsfs,10,4,387083.117785
realsfs,10,5,3173.028678
realsfs,10,6,131423.31662
realsfs,10,7,204492.13644
realsfs,10,8,96205.054932
realsfs,10,9,55571.801033
realsfs,10,10,70504.044642
realsfs,10,11,140707.912233
realsfs,10,12,35395.559207
realsfs,10,13,13743.376564
realsfs,10,14,132172.448443
realsfs,10,15,17129.83349
realsfs,10,16,62424.078767
realsfs,10,17,22014.445244
realsfs,10,18,69997.247501
realsfs,10,19,11207.817682
realsfs,10,20,50890.857602
realsfs,10,21,46823.123502
realsfs,10,22,6197.236952
realsfs,10,23,36876.474412
realsfs,10,24,26459.526669
realsfs,13,0,631682983.217267
realsfs,13,1,566098.692355
realsfs,13,2,389103.940123
realsfs,13,3,220305.276533
realsfs,13,4,338199.390906
realsfs,13,5,4163.121972
realsfs,13,6,153123.103147
realsfs,13,7,190323.968698
realsfs,13,8,91277.039906
realsfs,13,9,58217.357408
realsfs,13,10,73682.87553
realsfs,13,11,143165.232295
realsfs,13,12,37337.979084
realsfs,13,13,14292.903701
realsfs,13,14,125815.78053
realsfs,13,15,16457.253833
realsfs,13,16,63859.854515
realsfs,13,17,23367.758333
realsfs,13,18,72532.526576
realsfs,13,19,11392.274409
realsfs,13,20,44517.787112
realsfs,13,21,47301.083093
realsfs,13,22,11417.092207
realsfs,13,23,34560.860439
realsfs,13,24,26736.630029
realsfs,16,0,631696126.576765
realsfs,16,1,535490.21852
realsfs,16,2,417884.391309
realsfs,16,3,217750.619525
realsfs,16,4,317950.722495
realsfs,16,5,6130.542739
realsfs,16,6,182055.55803
realsfs,16,7,170735.320913
realsfs,16,8,86545.286269
realsfs,16,9,61955.47392
realsfs,16,10,75809.153099
realsfs,16,11,140866.24396
realsfs,16,12,39439.972183
realsfs,16,13,15389.663264
realsfs,16,14,123216.544399
realsfs,16,15,16034.611285
realsfs,16,16,64447.60105
realsfs,16,17,23918.883328
realsfs,16,18,73691.549539
realsfs,16,19,12328.3151
realsfs,16,20,41572.948181
realsfs,16,21,43583.174371
realsfs,16,22,18403.624575
realsfs,16,23,31865.708057
realsfs,16,24,27040.297121
realsfs,19,0,631695652.940936
realsfs,19,1,533017.406034
realsfs,19,2,422944.029065
realsfs,19,3,218992.422814
realsfs,19,4,307768.441407
realsfs,19,5,9381.021813
realsfs,19,6,204706.604948
realsfs,19,7,145676.105479
realsfs,19,8,85683.332004
realsfs,19,9,69994.884942
realsfs,19,10,78423.096668
realsfs,19,11,134400.221676
realsfs,19,12,41718.705102
realsfs,19,13,17010.954153
realsfs,19,14,121865.775477
realsfs,19,15,15748.872231
realsfs,19,16,64840.996316
realsfs,19,17,23869.069803
realsfs,19,18,73029.978067
realsfs,19,19,14172.800994
realsfs,19,20,42023.472464
realsfs,19,21,37837.576401
realsfs,19,22,24522.170566
realsfs,19,23,29641.926648
realsfs,19,24,27310.193993
realsfs,22,0,631698299.907029
realsfs,22,1,531495.152525
realsfs,22,2,421312.752423
realsfs,22,3,220064.519912
realsfs,22,4,304106.314551
realsfs,22,5,11048.345068
realsfs,22,6,210862.923364
realsfs,22,7,138127.864646
realsfs,22,8,86720.894936
realsfs,22,9,73656.422696
realsfs,22,10,78787.147274
realsfs,22,11,131006.06598
realsfs,22,12,42672.443169
realsfs,22,13,17743.039495
realsfs,22,14,121230.63928
realsfs,22,15,15653.801881
realsfs,22,16,65137.52951
realsfs,22,17,23826.585127
realsfs,22,18,72258.399867
realsfs,22,19,14972.911072
realsfs,22,20,42747.869846
realsfs,22,21,36219.062587
realsfs,22,22,25691.155834
realsfs,22,23,29202.50198
