condition,epoch,loglik,change
winsfs_b500_w100,2,57.226,3.3004
winsfs_b500_w100,3,57.226,2.8775e-6
winsfs_b500_w100,4,57.226,8.8899e-7
winsfs_b500_w100,5,57.226,2.842e-7
winsfs_b500_w100,6,57.226,9.4614e-8
winsfs_b500_w100,7,57.226,3.332e-8
winsfs_b500_w100,8,57.226,1.261e-8
winsfs_b500_w100,9,57.226,5.1796e-9
winsfs_b500_w100,10,57.226,2.3054e-9
winsfs_b500_w100,11,57.226,1.0983e-9
winsfs_b500_w100,12,57.226,5.5024e-10
winsfs_b500_w100,13,57.226,2.854e-10
winsfs_b500_w100,14,57.226,1.5112e-10
winsfs_b500_w100,15,57.226,8.1258e-11
winsfs_b500_w100,16,57.226,4.4011e-11
winsfs_b500_w100,17,57.226,2.3903e-11
winsfs_b500_w100,18,57.226,1.3053e-11
winsfs_b500_w100,19,57.226,7.1481e-12
winsfs_b500_w100,20,57.226,3.9222e-12
winsfs_b500_w100,21,57.226,2.16e-12
winsfs_b500_w100,22,57.226,1.1013e-12
winsfs_b500_w100,23,57.226,6.608e-13
winsfs_b500_w100,24,57.226,3.908e-13
winsfs_b500_w100,25,57.226,1.9185e-13
winsfs_b500_w100,26,57.226,1.1369e-13
winsfs_b500_w100,27,57.226,2.1316e-14
winsfs_b500_w100,28,57.226,7.1054e-14
winsfs_b500_w100,29,57.226,4.9738e-14
winsfs_b500_w100,30,57.226,1.1369e-13
winsfs_b500_w100,31,57.226,9.2371e-14
winsfs_b500_w100,32,57.226,4.2633e-14
winsfs_b500_w100,33,57.226,6.3949e-14
winsfs_b500_w100,34,57.226,3.5527e-14
winsfs_b500_w100,35,57.226,4.2633e-14
winsfs_b500_w100,36,57.226,7.1054e-15
winsfs_b500_w100,37,57.226,2.1316e-14
winsfs_b500_w100,38,57.226,2.1316e-14
winsfs_b500_w100,39,57.226,2.8422e-14
winsfs_b500_w100,40,57.226,0
winsfs_b500_w250,2,57.227,3.3686
winsfs_b500_w250,3,57.226,3.2137e-4
winsfs_b500_w250,4,57.226,4.7705e-6
winsfs_b500_w250,5,57.226,1.5983e-6
winsfs_b500_w250,6,57.226,9.458e-7
winsfs_b500_w250,7,57.226,5.7884e-7
winsfs_b500_w250,8,57.226,3.5657e-7
winsfs_b500_w250,9,57.226,2.2066e-7
winsfs_b500_w250,10,57.226,1.3713e-7
winsfs_b500_w250,11,57.226,8.5571e-8
winsfs_b500_w250,12,57.226,5.3629000000000003e-08
winsfs_b500_w250,13,57.226,3.3771e-8
winsfs_b500_w250,14,57.226,2.1381e-8
winsfs_b500_w250,15,57.226,1.3622e-8
winsfs_b500_w250,16,57.226,8.7415e-9
winsfs_b500_w250,17,57.226,5.6566e-9
winsfs_b500_w250,18,57.226,3.6954e-9
winsfs_b500_w250,19,57.226,2.4401e-9
winsfs_b500_w250,20,57.226,1.6303e-9
winsfs_b500_w250,21,57.226,1.1033e-9
winsfs_b500_w250,22,57.226,7.5666e-10
winsfs_b500_w250,23,57.226,5.2618e-10
winsfs_b500_w250,24,57.226,3.7106e-10
winsfs_b500_w250,25,57.226,2.652e-10
winsfs_b500_w250,26,57.226,1.9197e-10
winsfs_b500_w250,27,57.226,1.4055e-10
winsfs_b500_w250,28,57.226,1.0401e-10
winsfs_b500_w250,29,57.226,7.8039e-11
winsfs_b500_w250,30,57.226,5.857e-11
winsfs_b500_w250,31,57.226,4.4622e-11
winsfs_b500_w250,32,57.226,3.3992e-11
winsfs_b500_w250,33,57.226,2.6048e-11
winsfs_b500_w250,34,57.226,2.0236e-11
winsfs_b500_w250,35,57.226,1.5554e-11
winsfs_b500_w250,36,57.226,1.2086e-11
winsfs_b500_w250,37,57.226,9.3863e-12
winsfs_b500_w250,38,57.226,7.3612e-12
winsfs_b500_w250,39,57.226,5.6843e-12
winsfs_b500_w250,40,57.226,4.5404e-12
winsfs_b500_w250,41,57.226,3.4106e-12
winsfs_b500_w250,42,57.226,2.7853e-12
winsfs_b500_w250,43,57.226,2.089e-12
winsfs_b500_w250,44,57.226,1.7053e-12
winsfs_b500_w250,45,57.226,1.3287e-12
winsfs_b500_w250,46,57.226,1.0374e-12
winsfs_b500_w250,47,57.226,8.0291e-13
winsfs_b500_w250,48,57.226,6.1817e-13
winsfs_b500_w250,49,57.226,4.6896e-13
winsfs_b500_w250,50,57.226,4.6896e-13
winsfs_b500_w500,2,57.234,3.3994
winsfs_b500_w500,3,57.227,0.0069245
winsfs_b500_w500,4,57.226,2.9929e-4
winsfs_b500_w500,5,57.226,2.4456e-5
winsfs_b500_w500,6,57.226,4.1441e-6
winsfs_b500_w500,7,57.226,1.5936e-6
winsfs_b500_w500,8,57.226,9.9236e-7
winsfs_b500_w500,9,57.226,7.2448e-7
winsfs_b500_w500,10,57.226,5.5316e-7
winsfs_b500_w500,11,57.226,4.2831e-7
winsfs_b500_w500,12,57.226,3.3345e-7
winsfs_b500_w500,13,57.226,2.6032e-7
winsfs_b500_w500,14,57.226,2.0358e-7
winsfs_b500_w500,15,57.226,1.5942e-7
winsfs_b500_w500,16,57.226,1.2497e-7
winsfs_b500_w500,17,57.226,9.8059e-8
winsfs_b500_w500,18,57.226,7.7007e-8
winsfs_b500_w500,19,57.226,6.0521e-8
winsfs_b500_w500,20,57.226,4.76e-8
winsfs_b500_w500,21,57.226,3.7465e-8
winsfs_b500_w500,22,57.226,2.9509e-8
winsfs_b500_w500,23,57.226,2.3259e-8
winsfs_b500_w500,24,57.226,1.8348e-8
winsfs_b500_w500,25,57.226,1.4485e-8
winsfs_b500_w500,26,57.226,1.1445e-8
winsfs_b500_w500,27,57.226,9.0511e-9
winsfs_b500_w500,28,57.226,7.1650999999999996e-09
winsfs_b500_w500,29,57.226,5.678e-9
winsfs_b500_w500,30,57.226,4.5048e-9
winsfs_b500_w500,31,57.226,3.5784e-9
winsfs_b500_w500,32,57.226,2.8463e-9
winsfs_b500_w500,33,57.226,2.2674e-9
winsfs_b500_w500,34,57.226,1.809e-9
winsfs_b500_w500,35,57.226,1.4458e-9
winsfs_b500_w500,36,57.226,1.1577e-9
winsfs_b500_w500,37,57.226,9.2882e-10
winsfs_b500_w500,38,57.226,7.4691e-10
winsfs_b500_w500,39,57.226,6.0177e-10
winsfs_b500_w500,40,57.226,4.8635e-10
winsfs_b500_w500,41,57.226,3.9395e-10
winsfs_b500_w500,42,57.226,3.1998e-10
winsfs_b500_w500,43,57.226,2.6063e-10
winsfs_b500_w500,44,57.226,2.1297e-10
winsfs_b500_w500,45,57.226,1.7453e-10
winsfs_b500_w500,46,57.226,1.4364e-10
winsfs_b500_w500,47,57.226,1.1845e-10
winsfs_b500_w500,48,57.226,9.814e-11
winsfs_b500_w500,49,57.226,8.157e-11
winsfs_b500_w500,50,57.226,8.157e-11
