condition,epoch,i,x
realsfs,3,0,1044663439.577867
realsfs,3,1,107123922.940314
realsfs,3,2,4432940.109525
realsfs,3,3,439921.443571
realsfs,3,4,459546.894084
realsfs,3,5,4877.876007
realsfs,3,6,157953.676514
realsfs,3,7,331528.710551
realsfs,3,8,185105.722423
realsfs,3,9,97256.95293
realsfs,3,10,97528.709466
realsfs,3,11,158113.416299
realsfs,3,12,49159.991034
realsfs,3,13,24355.559179
realsfs,3,14,178474.861936
realsfs,3,15,31399.843312
realsfs,3,16,108608.687324
realsfs,3,17,51084.753477
realsfs,3,18,174146.163662
realsfs,3,19,188621.219798
realsfs,3,20,14583035.890725
realsfs,6,0,1153516097.81266
realsfs,6,1,1814058.707437
realsfs,6,2,709015.67859
realsfs,6,3,418238.009853
realsfs,6,4,534719.293183
realsfs,6,5,41990.467532
realsfs,6,6,302132.732945
realsfs,6,7,230940.644357
realsfs,6,8,137653.796618
realsfs,6,9,104058.824715
realsfs,6,10,106808.345667
realsfs,6,11,148542.259691
realsfs,6,12,76825.835269
realsfs,6,13,45510.025037
realsfs,6,14,149030.066697
realsfs,6,15,39808.288985
realsfs,6,16,111537.557451
realsfs,6,17,72201.959442
realsfs,6,18,114076.353554
realsfs,6,19,134231.332289
realsfs,6,20,14733545.008027
realsfs,9,0,1153741357.754241
realsfs,9,1,1489872.833656
realsfs,9,2,793245.110254
realsfs,9,3,470192.280001
realsfs,9,4,461428.364747
realsfs,9,5,112001.837202
realsfs,9,6,308979.788346
realsfs,9,7,175405.949914
realsfs,9,8,137019.787481
realsfs,9,9,121472.811218
realsfs,9,10,113954.386152
realsfs,9,11,125581.115239
realsfs,9,12,88592.685776
realsfs,9,13,60958.644692
realsfs,9,14,126623.977886
realsfs,9,15,50896.279215
realsfs,9,16,103124.645872
realsfs,9,17,83694.767204
realsfs,9,18,107543.148069
realsfs,9,19,135048.254023
realsfs,9,20,14734028.578812
realsfs,12,0,1153742285.62411
realsfs,12,1,1487547.454507
realsfs,12,2,791264.677668
realsfs,12,3,497050.629739
realsfs,12,4,378196.79258
realsfs,12,5,237849.846039
realsfs,12,6,244964.869442
realsfs,12,7,155501.680653
realsfs,12,8,150547.360528
realsfs,12,9,131407.566316
realsfs,12,10,119070.038812
realsfs,12,11,102375.125476
realsfs,12,12,97450.504396
realsfs,12,13,77880.91318
realsfs,12,14,99771.70604
realsfs,12,15,72097.545632
realsfs,12,16,91015.605807
realsfs,12,17,90444.184981
realsfs,12,18,104492.428044
realsfs,12,19,135897.771628
realsfs,12,20,14733910.674424
realsfs,15,0,1153742006.080684
realsfs,15,1,1488073.074477
realsfs,15,2,788700.431398
realsfs,15,3,506861.584791
realsfs,15,4,358030.493882
realsfs,15,5,264593.201815
realsfs,15,6,222346.813688
realsfs,15,7,165842.222951
realsfs,15,8,151662.489908
realsfs,15,9,125213.611258
realsfs,15,10,124895.925034
realsfs,15,11,97810.071528
realsfs,15,12,98278.002405
realsfs,15,13,83707.934976
realsfs,15,14,89612.544825
realsfs,15,15,81082.101683
realsfs,15,16,86296.129453
realsfs,15,17,92024.709036
realsfs,15,18,104134.041865
realsfs,15,19,135940.636327
realsfs,15,20,14733910.898016
realsfs,18,0,1153743604.212064
realsfs,18,1,1485117.114847
realsfs,18,2,790663.627891
realsfs,18,3,507507.625492
realsfs,18,4,355439.929694
realsfs,18,5,266561.98477
realsfs,18,6,219706.255142
realsfs,18,7,168498.361712
realsfs,18,8,151517.384354
realsfs,18,9,124266.586252
realsfs,18,10,126216.677509
realsfs,18,11,96785.997989
realsfs,18,12,97977.140511
realsfs,18,13,84936.678503
realsfs,18,14,88128.050011
realsfs,18,15,82184.872565
realsfs,18,16,85676.653043
realsfs,18,17,92290.945745
realsfs,18,18,104097.776877
realsfs,18,19,135931.196234
realsfs,18,20,14733913.928795
realsfs,21,0,1153743266.349927
realsfs,21,1,1485414.74025
realsfs,21,2,790604.363383
realsfs,21,3,508171.281468
realsfs,21,4,353866.62353
realsfs,21,5,269546.081622
realsfs,21,6,215770.305958
realsfs,21,7,171692.807133
realsfs,21,8,150452.259947
realsfs,21,9,122900.871807
realsfs,21,10,128519.019189
realsfs,21,11,95358.479586
realsfs,21,12,97487.413554
realsfs,21,13,86919.388568
realsfs,21,14,85939.086577
realsfs,21,15,83793.834541
realsfs,21,16,84900.308517
realsfs,21,17,92549.606493
realsfs,21,18,104017.930123
realsfs,21,19,135930.286595
realsfs,21,20,14733921.96123
realsfs,24,0,1153743661.093698
realsfs,24,1,1485094.725675
realsfs,24,2,790492.508083
realsfs,24,3,508115.253752
realsfs,24,4,353791.126219
realsfs,24,5,269601.172488
realsfs,24,6,215792.199214
realsfs,24,7,171778.872829
realsfs,24,8,150474.760183
realsfs,24,9,122909.415386
realsfs,24,10,128552.618895
realsfs,24,11,95352.707747
realsfs,24,12,97482.181289
realsfs,24,13,86931.784914
realsfs,24,14,85867.444003
realsfs,24,15,83787.68998
realsfs,24,16,84879.054947
realsfs,24,17,92570.15733
realsfs,24,18,104033.389354
realsfs,24,19,135942.565355
realsfs,24,20,14733912.278659
realsfs,27,0,1153743657.828406
realsfs,27,1,1485103.942046
realsfs,27,2,790477.313577
realsfs,27,3,508138.388873
realsfs,27,4,353750.424607
realsfs,27,5,269667.836606
realsfs,27,6,215712.279541
realsfs,27,7,171845.82165
realsfs,27,8,150444.931007
realsfs,27,9,122893.321356
realsfs,27,10,128596.185168
realsfs,27,11,95324.211489
