method,model,j,i,residual
realsfs,second,0,0,6651057.010614469
realsfs,second,0,1,89.22938086238175
realsfs,second,0,2,-190.6785450567371
realsfs,second,0,3,26.70300223547506
realsfs,second,0,4,36.36071400282152
realsfs,second,0,5,-10.35563855048455
realsfs,second,0,6,19.95576544940761
realsfs,second,0,7,12.91964018949896
realsfs,second,0,8,-15.21369161559034
realsfs,second,0,9,1.65996416006172
realsfs,second,0,10,-8.604744353609282
realsfs,second,0,11,14.6035808196164
realsfs,second,0,12,-4.516702599984385
realsfs,second,0,13,7.509837547034917
realsfs,second,0,14,12.23446367151617
realsfs,second,0,15,15.50574370629724
realsfs,second,0,16,11.12919968365529
realsfs,second,1,0,-1.704072071697045
realsfs,second,1,1,-44.85980390229368
realsfs,second,1,2,-31.58596914887182
realsfs,second,1,3,-10.01761412419531
realsfs,second,1,4,-7.879168917095802
realsfs,second,1,5,-11.18578935426465
realsfs,second,1,6,-21.51311733454308
realsfs,second,1,7,-7.16521766627044
realsfs,second,1,8,-40.70873224555346
realsfs,second,1,9,5.022580665916445
realsfs,second,1,10,-34.44696113687224
realsfs,second,1,11,-6.012618896442438
realsfs,second,1,12,-13.13085410720793
realsfs,second,1,13,-10.91545605874277
realsfs,second,1,14,-3.188723206094415
realsfs,second,1,15,4.668744078534719
realsfs,second,1,16,-8.010784590967134
realsfs,second,2,0,-87.16851511778687
realsfs,second,2,1,-37.17486077304173
realsfs,second,2,2,-2.854711200634886
realsfs,second,2,3,0.8070303987808671
realsfs,second,2,4,1.683849359479542
realsfs,second,2,5,-4.663705331803627
realsfs,second,2,6,6.444345651768244
realsfs,second,2,7,-19.96401274867129
realsfs,second,2,8,9.743709374563648
realsfs,second,2,9,-18.5430041200086
realsfs,second,2,10,-4.736429982431329
realsfs,second,2,11,-19.89352204571756
realsfs,second,2,12,-1.326001846687838
realsfs,second,2,13,-16.634857446775
realsfs,second,2,14,1.278232143910115
realsfs,second,2,15,6.180103730989214
realsfs,second,2,16,-4.386229083629353
realsfs,second,3,0,-12.67907519052633
realsfs,second,3,1,3.359168663752333
realsfs,second,3,2,7.772955428973245
realsfs,second,3,3,15.92008814296782
realsfs,second,3,4,-1.105562911172193
realsfs,second,3,5,3.879948507922098
realsfs,second,3,6,3.425304964708915
realsfs,second,3,7,3.175266468452833
realsfs,second,3,8,-44.46956639109852
realsfs,second,3,9,32.9779172426779
realsfs,second,3,10,-24.90301252798367
realsfs,second,3,11,-8.076187510178897
realsfs,second,3,12,-1.025695773934235
realsfs,second,3,13,-10.8754602575829
realsfs,second,3,14,4.262020765322336
realsfs,second,3,15,12.18253685132246
realsfs,second,3,16,-0.008053935986662592
realsfs,second,4,0,26.61086275429119
realsfs,second,4,1,20.76484395468671
realsfs,second,4,2,12.56252765801312
realsfs,second,4,3,-12.50706156441277
realsfs,second,4,4,25.88527608237622
realsfs,second,4,5,-16.54252843412442
realsfs,second,4,6,-18.53954168189829
realsfs,second,4,7,25.1388291902595
realsfs,second,4,8,18.74585447968606
realsfs,second,4,9,-35.02847872235548
realsfs,second,4,10,-6.123356326862349
realsfs,second,4,11,11.44826907237917
realsfs,second,4,12,-25.48691380356257
realsfs,second,4,13,0.842285191421977
realsfs,second,4,14,-17.54042714965063
realsfs,second,4,15,13.42720582029217
realsfs,second,4,16,-1.077040475668857
realsfs,second,5,0,20.90148790905667
realsfs,second,5,1,28.77713877504545
realsfs,second,5,2,14.32386332347308
realsfs,second,5,3,36.07279897533986
realsfs,second,5,4,-39.60113236786427
realsfs,second,5,5,36.0784881353681
realsfs,second,5,6,4.938487900083581
realsfs,second,5,7,-31.59525800312892
realsfs,second,5,8,-18.00884587612159
realsfs,second,5,9,43.92569994064608
realsfs,second,5,10,-4.522567358505969
realsfs,second,5,11,-10.59835422207306
realsfs,second,5,12,8.575827507038495
realsfs,second,5,13,12.92905611786623
realsfs,second,5,14,20.27031282858633
realsfs,second,5,15,6.569986885886957
realsfs,second,6,0,32.08860835136316
realsfs,second,6,1,52.43799392840839
realsfs,second,6,2,1.630661396306848
realsfs,second,6,3,-33.25289188161636
realsfs,second,6,4,39.11614453119309
realsfs,second,6,5,-22.95597051402147
realsfs,second,6,6,2.25929869829369
realsfs,second,6,7,-4.679621921277088
realsfs,second,6,8,63.48631066192034
realsfs,second,6,9,-43.95789821112027
realsfs,second,6,10,-5.227860431158582
realsfs,second,6,11,2.686423750458967
realsfs,second,6,12,-3.582182655194208
realsfs,second,6,13,1.291629047243057
realsfs,second,6,14,-5.505788364324334
realsfs,second,7,0,-1.958223844702119
realsfs,second,7,1,7.011123549565371
realsfs,second,7,2,58.40820798210336
realsfs,second,7,3,36.64922178060073
realsfs,second,7,4,-16.51327065649977
realsfs,second,7,5,12.84972943561963
realsfs,second,7,6,21.5324407938167
realsfs,second,7,7,38.11666837385378
realsfs,second,7,8,-54.30299096044478
realsfs,second,7,9,50.49383574596468
realsfs,second,7,10,-11.26721473607824
realsfs,second,7,11,-16.86759844246121
realsfs,second,7,12,8.919699862633685
realsfs,second,7,13,0.8894717679065577
realsfs,second,8,0,54.15348376356563
realsfs,second,8,1,68.01027918984202
realsfs,second,8,2,-29.24466583700338
realsfs,second,8,3,-21.75888019512539
realsfs,second,8,4,9.67069719317362
realsfs,second,8,5,-18.06202292469747
realsfs,second,8,6,-43.33820975782564
realsfs,second,8,7,-3.407930869801564
realsfs,second,8,8,34.99145323232774
realsfs,second,8,9,-27.79669141435686
realsfs,second,8,10,1.592228885607233
realsfs,second,8,11,57.3832836937775
realsfs,second,8,12,-22.1424080488086
realsfs,second,9,0,-7.394732047978501
realsfs,second,9,1,4.734659093213399
realsfs,second,9,2,45.22269269351463
realsfs,second,9,3,33.05758983662039
realsfs,second,9,4,-21.49641512839996
realsfs,second,9,5,23.28100536599482
realsfs,second,9,6,13.95708903616718
realsfs,second,9,7,-8.77615165770448
realsfs,second,9,8,-8.62205309755635
realsfs,second,9,9,7.552687130412336
realsfs,second,9,10,-12.12088655638615
realsfs,second,9,11,-22.39519528005691
realsfs,second,10,0,44.66975140656156
realsfs,second,10,1,37.88098887097446
realsfs,second,10,2,-1.067640915443011
realsfs,second,10,3,-21.50464743552107
realsfs,second,10,4,5.160472998613979
realsfs,second,10,5,17.05189707874237
realsfs,second,10,6,1.258499302251089
realsfs,second,10,7,0.03936873580423073
realsfs,second,10,8,-18.17054465194911
realsfs,second,10,9,2.825590693272753
realsfs,second,10,10,-1.680562402934655
realsfs,second,11,0,2.616808438059376
realsfs,second,11,1,37.38293628961137
realsfs,second,11,2,5.576135178010694
realsfs,second,11,3,7.625683599232413
realsfs,second,11,4,50.95541413809079
realsfs,second,11,5,-12.94886519814911
realsfs,second,11,6,-21.87711696879312
realsfs,second,11,7,9.514230960965143
realsfs,second,11,8,27.75945771436547
realsfs,second,11,9,-16.63520937727784
realsfs,second,12,0,34.25913905066916
realsfs,second,12,1,21.2395193277409
realsfs,second,12,2,39.82892214888044
realsfs,second,12,3,21.50298061215639
realsfs,second,12,4,-36.24354809577084
realsfs,second,12,5,1.071275351512806
realsfs,second,12,6,2.370419857410891
realsfs,second,12,7,11.93079412368717
realsfs,second,12,8,-18.52749516759646
realsfs,second,13,0,-20.15964130144341
realsfs,second,13,1,18.56697707218325
realsfs,second,13,2,3.44775891322719
realsfs,second,13,3,-13.50253655518728
realsfs,second,13,4,26.26432406219813
realsfs,second,13,5,0.8864362205958002
realsfs,second,13,6,19.65879319409763
realsfs,second,13,7,-16.63520937727782
realsfs,second,14,0,58.83244678859285
realsfs,second,14,1,43.78045805449803
realsfs,second,14,2,9.020737270319692
realsfs,second,14,3,35.34514353081913
realsfs,second,14,4,-8.794542612624328
realsfs,second,14,5,7.165051301844778
realsfs,second,14,6,-1.680562402934655
realsfs,second,15,0,-9.841963255039465
realsfs,second,15,1,4.456656332091369
realsfs,second,15,2,30.59964430674755
realsfs,second,15,3,-21.75261644397336
realsfs,second,15,4,10.50196953243296
realsfs,second,15,5,-22.39519528005691
realsfs,second,16,0,9.65085220602642
realsfs,second,16,1,56.2450147251765
realsfs,second,16,2,1.770459912202945
realsfs,second,16,3,30.05416447289966
realsfs,second,16,4,-22.1424080488086
realsfs,second,17,0,17.39401544594583
realsfs,second,17,1,-13.57273748541073
realsfs,second,17,2,23.08647502501173
realsfs,second,17,3,0.8894717679065577
realsfs,second,18,0,-10.67810604124669
realsfs,second,18,1,32.95909434950851
realsfs,second,18,2,-5.505788364324334
realsfs,second,19,0,2.666156962805628
realsfs,second,19,1,6.569986885886946
realsfs,second,20,0,-1.077040475668857
winsfs,second,0,0,6650289.181170225
winsfs,second,0,1,86.24734956384064
winsfs,second,0,2,-181.0825988420161
winsfs,second,0,3,17.27462588850262
winsfs,second,0,4,36.92327624093711
winsfs,second,0,5,-1.63814520012367
winsfs,second,0,6,11.63192716047581
winsfs,second,0,7,9.273131055174836
winsfs,second,0,8,-8.349634586826028
winsfs,second,0,9,-5.251265263271375
winsfs,second,0,10,-3.117936234107821
winsfs,second,0,11,8.998904487985566
winsfs,second,0,12,-1.113025511212615
winsfs,second,0,13,6.199151659192925
winsfs,second,0,14,12.08231415254372
winsfs,second,0,15,15.25850879454373
winsfs,second,0,16,10.98029409800153
winsfs,second,1,0,-10.73443615454056
winsfs,second,1,1,-34.42440890201541
winsfs,second,1,2,-39.85591368708749
winsfs,second,1,3,-9.367739498232428
winsfs,second,1,4,-7.271814596704997
winsfs,second,1,5,-12.196863383236
winsfs,second,1,6,-16.17957029900631
winsfs,second,1,7,-16.43011239300848
winsfs,second,1,8,-26.64452304043478
winsfs,second,1,9,-13.01381931742471
winsfs,second,1,10,-19.1131406910221
winsfs,second,1,11,-14.41239657154675
winsfs,second,1,12,-11.4004717144284
winsfs,second,1,13,-12.59708287320675
winsfs,second,1,14,-4.570357927812179
winsfs,second,1,15,2.498907711456019
winsfs,second,1,16,-6.554209881957763
winsfs,second,2,0,-65.91244131172674
winsfs,second,2,1,-41.0980322053458
winsfs,second,2,2,-5.764765346839837
winsfs,second,2,3,2.15227039073513
winsfs,second,2,4,0.3633555015426532
winsfs,second,2,5,-0.2376301876179433
winsfs,second,2,6,-1.926758557018891
winsfs,second,2,7,-5.640014948385773
