population,split,individual,depth,count,density
CEU,test,1,0,136672316,0.1015270493283018
CEU,test,1,1,187845217,0.13954084609530254
CEU,test,1,2,220904757,0.16409913007397578
CEU,test,1,3,220769350,0.16399854296481756
CEU,test,1,4,191758250,0.1424476432144373
CEU,test,1,5,147392241,0.1094903471352307
CEU,test,1,6,101690930,0.07554112177590439
CEU,test,1,7,63934232,0.04749355331061405
CEU,test,1,8,36960930,0.02745643209360635
CEU,test,1,9,19842813,0.01474023645185955
CEU,test,1,10,9970669,0.00740671288104292
CEU,test,1,11,4728822,0.00351280609350878
CEU,test,1,12,2125067,0.00157860632240216
CEU,test,1,13,916022,6.804670726426387e-4
CEU,test,1,14,381213,2.831841311271107e-4
CEU,test,1,15,153841,1.1428080867317178e-4
CEU,test,1,16,61868,4.595865257630795e-5
CEU,test,1,17,26267,1.9512444676114973e-5
CEU,test,1,18,12284,9.12517114255135e-6
CEU,test,1,19,6494,4.824068821208765e-6
CEU,test,1,20,3824,2.84065894245493e-6
CEU,test,1,21,2453,1.8222113979712197e-6
CEU,test,1,22,1818,1.3505015578930606e-6
CEU,test,1,23,1310,9.731336858305331e-7
CEU,test,1,24,948,7.042219344788896e-7
CEU,test,1,25,707,5.251950502917458e-7
CEU,test,1,26,492,3.6548226979284146e-7
CEU,test,1,27,330,2.451405468122717e-7
CEU,test,1,28,262,1.9462673716610661e-7
CEU,test,1,29,178,1.3222732525025564e-7
CEU,test,1,30,144,1.069704204271731e-7
CEU,test,1,31,83,6.165656177399563e-8
CEU,test,1,32,60,4.457100851132213e-8
CEU,test,1,33,46,3.417110652534696e-8
CEU,test,1,34,34,2.5256904823082543e-8
CEU,test,1,35,23,1.708555326267348e-8
CEU,test,1,36,18,1.3371302553396638e-8
CEU,test,1,37,12,8.914201702264426e-9
CEU,test,1,38,8,5.94280113484295e-9
CEU,test,1,39,7,5.1999509929875825e-9
CEU,test,1,40,11,8.171351560409057e-9
CEU,test,1,41,13,9.657051844119794e-9
CEU,test,1,42,15,1.1142752127830533e-8
CEU,test,1,43,13,9.657051844119794e-9
CEU,test,1,44,13,9.657051844119794e-9
CEU,test,1,45,18,1.3371302553396638e-8
CEU,test,1,46,13,9.657051844119794e-9
CEU,test,1,47,21,1.5599852978962746e-8
CEU,test,1,48,11,8.171351560409057e-9
CEU,test,1,49,12,8.914201702264426e-9
CEU,test,1,50,7,5.1999509929875825e-9
CEU,test,1,51,6,4.457100851132213e-9
CEU,test,1,52,7,5.1999509929875825e-9
