peak,n,d,condition,epoch,loglik,change
FALSE,10,2,winsfs_b500_w100,2,97.61,12.086
FALSE,10,2,winsfs_b500_w100,3,97.558,0.052903
FALSE,10,2,winsfs_b500_w100,4,97.555,0.0026364
FALSE,10,2,winsfs_b500_w100,5,97.554,4.674e-4
FALSE,10,2,winsfs_b500_w100,6,97.554,1.427e-4
FALSE,10,2,winsfs_b500_w100,7,97.554,5.6655e-5
FALSE,10,2,winsfs_b500_w100,8,97.554,2.6808e-5
FALSE,10,2,winsfs_b500_w100,9,97.554,1.4629e-5
FALSE,10,2,winsfs_b500_w100,10,97.554,9.0376e-6
FALSE,10,2,winsfs_b500_w100,11,97.554,6.2136e-6
FALSE,10,2,winsfs_b500_w100,12,97.554,4.6622e-6
FALSE,10,2,winsfs_b500_w100,13,97.554,3.7408e-6
FALSE,10,2,winsfs_b500_w100,14,97.554,3.1524e-6
FALSE,10,2,winsfs_b500_w100,15,97.554,2.751e-6
FALSE,10,2,winsfs_b500_w100,16,97.554,2.4608e-6
FALSE,10,2,winsfs_b500_w100,17,97.554,2.2404e-6
FALSE,10,2,winsfs_b500_w100,18,97.554,2.0664e-6
FALSE,10,2,winsfs_b500_w100,19,97.554,1.9243e-6
FALSE,10,2,winsfs_b500_w100,20,97.554,1.8053e-6
FALSE,10,2,winsfs_b500_w100,21,97.554,1.7036e-6
FALSE,10,2,winsfs_b500_w100,22,97.554,1.6151e-6
FALSE,10,2,winsfs_b500_w100,23,97.554,1.5371e-6
FALSE,10,2,winsfs_b500_w100,24,97.554,1.4676e-6
FALSE,10,2,winsfs_b500_w100,25,97.554,1.4052e-6
FALSE,10,2,winsfs_b500_w100,26,97.554,1.3485e-6
FALSE,10,2,winsfs_b500_w100,27,97.554,1.2969e-6
FALSE,10,2,winsfs_b500_w100,28,97.554,1.2495e-6
FALSE,10,2,winsfs_b500_w100,29,97.554,1.2059e-6
FALSE,10,2,winsfs_b500_w100,30,97.554,1.1656e-6
