peak,n,d,condition,epoch,loglik
FALSE,10,2,realsfs,3,-305188434
FALSE,10,2,realsfs,5,-86555556
FALSE,10,2,realsfs,7,-33848757
FALSE,10,2,realsfs,10,-14699623
FALSE,10,2,realsfs,13,-13589970
FALSE,10,2,realsfs,16,-13527169
FALSE,10,2,realsfs,19,-13513829
FALSE,10,2,realsfs,22,-13508669
FALSE,10,2,realsfs,25,-13503844
FALSE,10,2,realsfs,28,-13501715
FALSE,10,2,realsfs,31,-13497323
FALSE,10,2,realsfs,34,-13496140
FALSE,10,2,realsfs,37,-13488938
FALSE,10,2,realsfs,40,-13488152
FALSE,10,2,realsfs,43,-13470168
FALSE,10,2,realsfs,46,-13469763
FALSE,10,2,realsfs,49,-13468199
FALSE,10,2,realsfs,52,-13467248
FALSE,10,2,realsfs,55,-13466080
FALSE,10,2,realsfs,58,-13465507
FALSE,10,2,realsfs,61,-13463867
FALSE,10,2,realsfs,64,-13463497
FALSE,10,2,realsfs,67,-13458071
FALSE,10,2,realsfs,70,-13457837
FALSE,10,2,realsfs,72,-13457706
FALSE,10,2,realsfs,74,-13457575
FALSE,10,2,realsfs,77,-13456993
FALSE,10,2,realsfs,80,-13454982
FALSE,10,2,realsfs,83,-13448627
FALSE,10,2,realsfs,86,-13448298
FALSE,10,2,realsfs,89,-13447268
FALSE,10,2,realsfs,92,-13447054
FALSE,10,2,realsfs,95,-13443846
FALSE,10,2,realsfs,98,-13443704
FALSE,10,2,realsfs,100,-13443634
FALSE,10,2,realsfs,102,-13443564
FALSE,10,2,winsfs_b500_w100,1,-13805064
FALSE,10,2,winsfs_b500_w100,2,-13341165
FALSE,10,2,winsfs_b500_w100,3,-13311467
FALSE,10,2,winsfs_b500_w100,4,-13305468
FALSE,10,2,winsfs_b500_w100,5,-13303547
FALSE,10,2,winsfs_b500_w100,6,-13302820
FALSE,10,2,winsfs_b500_w100,7,-13302545
FALSE,10,2,winsfs_b500_w100,8,-13302468
FALSE,10,2,winsfs_b500_w100,9,-13302492
FALSE,10,2,winsfs_b500_w100,10,-13302571
FALSE,10,2,winsfs_b500_w100,11,-13302682
FALSE,10,2,winsfs_b500_w100,12,-13302815
FALSE,10,2,winsfs_b500_w100,13,-13302962
FALSE,10,2,winsfs_b500_w100,14,-13303119
FALSE,10,2,winsfs_b500_w100,15,-13303285
FALSE,10,2,winsfs_b500_w100,16,-13303456
FALSE,10,2,winsfs_b500_w100,17,-13303632
FALSE,10,2,winsfs_b500_w100,18,-13303812
FALSE,10,2,winsfs_b500_w100,19,-13303995
FALSE,10,2,winsfs_b500_w100,20,-13304181
FALSE,10,2,winsfs_b500_w100,21,-13304369
FALSE,10,2,winsfs_b500_w100,22,-13304559
FALSE,10,2,winsfs_b500_w100,23,-13304751
FALSE,10,2,winsfs_b500_w100,24,-13304944
FALSE,10,2,winsfs_b500_w100,25,-13305139
FALSE,10,2,winsfs_b500_w100,26,-13305335
FALSE,10,2,winsfs_b500_w100,27,-13305532
FALSE,10,2,winsfs_b500_w100,28,-13305730
FALSE,10,2,winsfs_b500_w100,29,-13305929
FALSE,10,2,winsfs_b500_w100,30,-13306129
FALSE,10,2,winsfs_b500_w100,31,-13306330
FALSE,10,2,winsfs_b500_w100,32,-13306532
FALSE,10,2,winsfs_b500_w100,33,-13306734
FALSE,10,2,winsfs_b500_w100,34,-13306937
FALSE,10,2,winsfs_b500_w100,35,-13307140
FALSE,10,2,winsfs_b500_w100,36,-13307345
FALSE,10,2,winsfs_b500_w100,37,-13307550
FALSE,10,2,winsfs_b500_w100,38,-13307755
FALSE,10,2,winsfs_b500_w100,39,-13307962
FALSE,10,2,winsfs_b500_w100,40,-13308168
FALSE,10,2,winsfs_b500_w100,41,-13308376
FALSE,10,2,winsfs_b500_w100,42,-13308584
FALSE,10,2,winsfs_b500_w100,43,-13308792
FALSE,10,2,winsfs_b500_w100,44,-13309001
FALSE,10,2,winsfs_b500_w100,45,-13309211
FALSE,10,2,winsfs_b500_w100,46,-13309421
FALSE,10,2,winsfs_b500_w100,47,-13309632
FALSE,10,2,winsfs_b500_w100,48,-13309843
FALSE,10,2,winsfs_b500_w100,49,-13310055
FALSE,10,2,winsfs_b500_w100,50,-13310267
FALSE,10,2,winsfs_b500_w100,51,-13310480
FALSE,10,2,winsfs_b500_w100,52,-13310693
FALSE,10,2,winsfs_b500_w100,53,-13310907
FALSE,10,2,winsfs_b500_w100,54,-13311121
FALSE,10,2,winsfs_b500_w100,55,-13311336
FALSE,10,2,winsfs_b500_w100,56,-13311551
FALSE,10,2,winsfs_b500_w100,57,-13311767
FALSE,10,2,winsfs_b500_w100,58,-13311983
FALSE,10,2,winsfs_b500_w100,59,-13312200
FALSE,10,2,winsfs_b500_w100,60,-13312417
FALSE,10,2,winsfs_b500_w100,61,-13312635
FALSE,10,2,winsfs_b500_w100,62,-13312853
FALSE,10,2,winsfs_b500_w100,63,-13313072
FALSE,10,2,winsfs_b500_w100,64,-13313291
FALSE,10,2,winsfs_b500_w100,65,-13313511
FALSE,10,2,winsfs_b500_w100,66,-13313731
FALSE,10,2,winsfs_b500_w100,67,-13313952
FALSE,10,2,winsfs_b500_w100,68,-13314173
FALSE,10,2,winsfs_b500_w100,69,-13314395
FALSE,10,2,winsfs_b500_w100,70,-13314617
FALSE,10,2,winsfs_b500_w100,71,-13314840
FALSE,10,2,winsfs_b500_w100,72,-13315063
FALSE,10,2,winsfs_b500_w100,73,-13315287
FALSE,10,2,winsfs_b500_w100,74,-13315511
FALSE,10,2,winsfs_b500_w100,75,-13315735
FALSE,10,2,winsfs_b500_w100,76,-13315960
FALSE,10,2,winsfs_b500_w100,77,-13316186
FALSE,10,2,winsfs_b500_w100,78,-13316411
FALSE,10,2,winsfs_b500_w100,79,-13316638
