peak,n,d,condition,epoch,fst,f2
FALSE,5,NA,truth,NA,0.3624781983944011,6.360499545454543e-4
FALSE,10,NA,truth,NA,0.36016930478127057,5.84752079545454e-4
FALSE,20,NA,truth,NA,0.36173492332521184,5.659120312500003e-4
TRUE,20,NA,truth,NA,0.32518505659025126,5.669347585227275e-4
FALSE,10,2,realsfs,3,0.02765897368998752,0.00372368080186819
FALSE,10,2,realsfs,5,0.03472458998270574,0.00136853993781786
FALSE,10,2,realsfs,7,0.08644301075706386,8.169912650821057e-4
FALSE,10,2,realsfs,10,0.28966818915420106,6.014562331070148e-4
FALSE,10,2,realsfs,13,0.35430566970347876,5.859873820996736e-4
FALSE,10,2,realsfs,16,0.35921335533531545,5.850182582182301e-4
FALSE,10,2,realsfs,19,0.35978886949588385,5.849789174425262e-4
FALSE,10,2,realsfs,22,0.36016548976538915,5.851541168248027e-4
FALSE,10,2,realsfs,25,0.36021764793232236,5.851175879794151e-4
FALSE,10,2,realsfs,28,0.3603773596575807,5.852303174627104e-4
FALSE,10,2,realsfs,31,0.36033570962675227,5.851674114438442e-4
FALSE,10,2,realsfs,34,0.36043800822513333,5.852530240368473e-4
FALSE,10,2,realsfs,37,0.3603786507657507,5.851943547903183e-4
FALSE,10,2,realsfs,40,0.36045160689196226,5.852547536445203e-4
FALSE,10,2,realsfs,43,0.3601971478980767,5.850947777259546e-4
FALSE,10,2,realsfs,46,0.3604461593753471,5.852465062437627e-4
FALSE,10,2,realsfs,49,0.3604423000651733,5.852459636056112e-4
FALSE,10,2,realsfs,52,0.36044720661443336,5.852450602327988e-4
FALSE,10,2,realsfs,55,0.36044155285364193,5.852427793388742e-4
FALSE,10,2,realsfs,58,0.3604491928262156,5.852448113270771e-4
FALSE,10,2,realsfs,61,0.3604326631616167,5.852392140776013e-4
FALSE,10,2,realsfs,64,0.3604511030748654,5.852445750215325e-4
FALSE,10,2,realsfs,67,0.3603618445533719,5.85216264066364e-4
FALSE,10,2,realsfs,70,0.3604511009417743,5.852421948671256e-4
FALSE,10,2,realsfs,72,0.3604511209473172,5.852421526045653e-4
FALSE,10,2,realsfs,74,0.360451115112889,5.852420982956842e-4
FALSE,10,2,realsfs,77,0.36045107267234183,5.852418577836233e-4
FALSE,10,2,realsfs,80,0.3604508854194394,5.852410246245615e-4
FALSE,10,2,realsfs,83,0.3604480132581187,5.852405688647786e-4
FALSE,10,2,realsfs,86,0.3604499989436428,5.852388187382162e-4
FALSE,10,2,realsfs,89,0.3604469634104467,5.8524473448527e-4
FALSE,10,2,realsfs,92,0.36045033376780394,5.852380574880333e-4
FALSE,10,2,realsfs,95,0.360468596138146,5.85268260681629e-4
FALSE,10,2,realsfs,98,0.3604500853330722,5.852372026414833e-4
FALSE,10,2,realsfs,100,0.3604498621776522,5.852368081086476e-4
FALSE,10,2,realsfs,102,0.3604499074931579,5.852367579159599e-4
FALSE,10,2,winsfs_b500_w100,1,0.321518740299456,5.943637574920545e-4
FALSE,10,2,winsfs_b500_w100,2,0.35675325338208014,5.874637633312372e-4
FALSE,10,2,winsfs_b500_w100,3,0.3598489580877715,5.869743037279444e-4
FALSE,10,2,winsfs_b500_w100,4,0.360359748140449,5.869036834926679e-4
FALSE,10,2,winsfs_b500_w100,5,0.3604966781192281,5.868890089051813e-4
FALSE,10,2,winsfs_b500_w100,6,0.360546705152358,5.868853943760583e-4
FALSE,10,2,winsfs_b500_w100,7,0.3605687618761127,5.868844108684669e-4
FALSE,10,2,winsfs_b500_w100,8,0.3605796425046345,5.868840324409242e-4
FALSE,10,2,winsfs_b500_w100,9,0.3605853805595632,5.868837226623271e-4
FALSE,10,2,winsfs_b500_w100,10,0.3605885206586213,5.868833535688125e-4
FALSE,10,2,winsfs_b500_w100,11,0.3605902611268891,5.86882913140792e-4
FALSE,10,2,winsfs_b500_w100,12,0.360591211855348,5.868824184259113e-4
FALSE,10,2,winsfs_b500_w100,13,0.3605917015332949,5.868818898878268e-4
FALSE,10,2,winsfs_b500_w100,14,0.360591915360104,5.868813446801482e-4
FALSE,10,2,winsfs_b500_w100,15,0.3605919615249899,5.868807957692605e-4
FALSE,10,2,winsfs_b500_w100,16,0.3605919050981211,5.868802522477529e-4
FALSE,10,2,winsfs_b500_w100,17,0.36059178613537474,5.868797202046831e-4
FALSE,10,2,winsfs_b500_w100,18,0.36059162975742487,5.868792034864819e-4
FALSE,10,2,winsfs_b500_w100,19,0.3605914519640194,5.868787044099008e-4
FALSE,10,2,winsfs_b500_w100,20,0.360591262982207,5.868782240564743e-4
FALSE,10,2,winsfs_b500_w100,21,0.3605910694081339,5.868777627331523e-4
FALSE,10,2,winsfs_b500_w100,22,0.360590875476188,5.868773203481707e-4
FALSE,10,2,winsfs_b500_w100,23,0.3605906838694034,5.868768963601401e-4
FALSE,10,2,winsfs_b500_w100,24,0.3605904963151419,5.868764901766382e-4
FALSE,10,2,winsfs_b500_w100,25,0.3605903138033084,5.868761010080413e-4
FALSE,10,2,winsfs_b500_w100,26,0.3605901369152388,5.868757280104647e-4
FALSE,10,2,winsfs_b500_w100,27,0.36058996596105247,5.868753704239064e-4
FALSE,10,2,winsfs_b500_w100,28,0.3605898010416337,5.868750274934627e-4
FALSE,10,2,winsfs_b500_w100,29,0.3605896421216664,5.868746984054496e-4
FALSE,10,2,winsfs_b500_w100,30,0.3605894891198104,5.86874382490833e-4
FALSE,10,2,winsfs_b500_w100,31,0.36058934186589553,5.868740790497319e-4
FALSE,10,2,winsfs_b500_w100,32,0.3605892001915813,5.868737874443028e-4
FALSE,10,2,winsfs_b500_w100,33,0.3605890639145562,5.868735071639e-4
FALSE,10,2,winsfs_b500_w100,34,0.3605889328015746,5.868732375385768e-4
FALSE,10,2,winsfs_b500_w100,35,0.36058880666503407,5.868729781099752e-4
FALSE,10,2,winsfs_b500_w100,36,0.3605886853081202,5.868727284303919e-4
FALSE,10,2,winsfs_b500_w100,37,0.3605885685310818,5.868724880064924e-4
FALSE,10,2,winsfs_b500_w100,38,0.36058845613664414,5.868722564097268e-4
FALSE,10,2,winsfs_b500_w100,39,0.3605883479548685,5.868720332804867e-4
FALSE,10,2,winsfs_b500_w100,40,0.3605882438049017,5.868718182088917e-4
FALSE,10,2,winsfs_b500_w100,41,0.36058814352698426,5.868716108837597e-4
FALSE,10,2,winsfs_b500_w100,42,0.3605880469575897,5.868714109452898e-4
FALSE,10,2,winsfs_b500_w100,43,0.3605879539384775,5.868712180831413e-4
FALSE,10,2,winsfs_b500_w100,44,0.3605878643257081,5.868710320024815e-4
